"MTU (CET)","Day-ahead Price [EUR/MWh]"
"01.01.2019 00:00 - 01.01.2019 01:00","69.49"
"01.01.2019 01:00 - 01.01.2019 02:00","66.58"
"01.01.2019 02:00 - 01.01.2019 03:00","65.07"
"01.01.2019 03:00 - 01.01.2019 04:00","52.17"
"01.01.2019 04:00 - 01.01.2019 05:00","47.66"
"01.01.2019 05:00 - 01.01.2019 06:00","50.87"
"01.01.2019 06:00 - 01.01.2019 07:00","52.88"
"01.01.2019 07:00 - 01.01.2019 08:00","61.78"
"01.01.2019 08:00 - 01.01.2019 09:00","50.08"
"01.01.2019 09:00 - 01.01.2019 10:00","50.27"
"01.01.2019 10:00 - 01.01.2019 11:00","66.36"
"01.01.2019 11:00 - 01.01.2019 12:00","75.08"
"01.01.2019 12:00 - 01.01.2019 13:00","90.66"
"01.01.2019 13:00 - 01.01.2019 14:00","75.71"
"01.01.2019 14:00 - 01.01.2019 15:00","68.30"
"01.01.2019 15:00 - 01.01.2019 16:00","61.83"
"01.01.2019 16:00 - 01.01.2019 17:00","72.12"
"01.01.2019 17:00 - 01.01.2019 18:00","62.58"
"01.01.2019 18:00 - 01.01.2019 19:00","56.94"
"01.01.2019 19:00 - 01.01.2019 20:00","57.89"
"01.01.2019 20:00 - 01.01.2019 21:00","51.30"
"01.01.2019 21:00 - 01.01.2019 22:00","51.89"
"01.01.2019 22:00 - 01.01.2019 23:00","60.88"
"01.01.2019 23:00 - 02.01.2019 00:00","60.74"
"02.01.2019 00:00 - 02.01.2019 01:00","65.96"
"02.01.2019 01:00 - 02.01.2019 02:00","57.90"
"02.01.2019 02:00 - 02.01.2019 03:00","56.48"
"02.01.2019 03:00 - 02.01.2019 04:00","46.68"
"02.01.2019 04:00 - 02.01.2019 05:00","50.80"
"02.01.2019 05:00 - 02.01.2019 06:00","45.28"
"02.01.2019 06:00 - 02.01.2019 07:00","55.30"
"02.01.2019 07:00 - 02.01.2019 08:00","56.86"
"02.01.2019 08:00 - 02.01.2019 09:00","55.99"
"02.01.2019 09:00 - 02.01.2019 10:00","55.33"
"02.01.2019 10:00 - 02.01.2019 11:00","53.47"
"02.01.2019 11:00 - 02.01.2019 12:00","53.22"
"02.01.2019 12:00 - 02.01.2019 13:00","57.32"
"02.01.2019 13:00 - 02.01.2019 14:00","51.91"
"02.01.2019 14:00 - 02.01.2019 15:00","54.59"
"02.01.2019 15:00 - 02.01.2019 16:00","58.89"
"02.01.2019 16:00 - 02.01.2019 17:00","66.57"
"02.01.2019 17:00 - 02.01.2019 18:00","74.33"
"02.01.2019 18:00 - 02.01.2019 19:00","74.45"
"02.01.2019 19:00 - 02.01.2019 20:00","74.33"
"02.01.2019 20:00 - 02.01.2019 21:00","67.29"
"02.01.2019 21:00 - 02.01.2019 22:00","55.64"
"02.01.2019 22:00 - 02.01.2019 23:00","56.77"
"02.01.2019 23:00 - 03.01.2019 00:00","57.28"
"03.01.2019 00:00 - 03.01.2019 01:00","50.12"
"03.01.2019 01:00 - 03.01.2019 02:00","46.45"
"03.01.2019 02:00 - 03.01.2019 03:00","46.12"
"03.01.2019 03:00 - 03.01.2019 04:00","44.00"
"03.01.2019 04:00 - 03.01.2019 05:00","43.88"
"03.01.2019 05:00 - 03.01.2019 06:00","45.92"
"03.01.2019 06:00 - 03.01.2019 07:00","52.96"
"03.01.2019 07:00 - 03.01.2019 08:00","60.22"
"03.01.2019 08:00 - 03.01.2019 09:00","65.65"
"03.01.2019 09:00 - 03.01.2019 10:00","75.58"
"03.01.2019 10:00 - 03.01.2019 11:00","77.03"
"03.01.2019 11:00 - 03.01.2019 12:00","71.59"
"03.01.2019 12:00 - 03.01.2019 13:00","69.83"
"03.01.2019 13:00 - 03.01.2019 14:00","68.15"
"03.01.2019 14:00 - 03.01.2019 15:00","68.25"
