"Time (CET)","Day-ahead Total Load Forecast [MW] - CTA|BE","Actual Total Load [MW] - CTA|BE"
"01.01.2019 00:00 - 01.01.2019 00:15","9186","9122"
"01.01.2019 00:15 - 01.01.2019 00:30","9039","9060"
"01.01.2019 00:30 - 01.01.2019 00:45","8918","8964"
"01.01.2019 00:45 - 01.01.2019 01:00","8831","8747"
"01.01.2019 01:00 - 01.01.2019 01:15","8701","8729"
"01.01.2019 01:15 - 01.01.2019 01:30","8626","8625"
"01.01.2019 01:30 - 01.01.2019 01:45","8516","8475"
"01.01.2019 01:45 - 01.01.2019 02:00","8404","8342"
"01.01.2019 02:00 - 01.01.2019 02:15","8298","8231"
"01.01.2019 02:15 - 01.01.2019 02:30","8209","8118"
"01.01.2019 02:30 - 01.01.2019 02:45","8152","8022"
"01.01.2019 02:45 - 01.01.2019 03:00","8062","7939"
"01.01.2019 03:00 - 01.01.2019 03:15","7971","7947"
"01.01.2019 03:15 - 01.01.2019 03:30","7882","7839"
"01.01.2019 03:30 - 01.01.2019 03:45","7849","7771"
"01.01.2019 03:45 - 01.01.2019 04:00","7775","7736"
"01.01.2019 04:00 - 01.01.2019 04:15","7711","7637"
"01.01.2019 04:15 - 01.01.2019 04:30","7654","7659"
"01.01.2019 04:30 - 01.01.2019 04:45","7656","7619"
"01.01.2019 04:45 - 01.01.2019 05:00","7637","7630"
"01.01.2019 05:00 - 01.01.2019 05:15","7618","7641"
"01.01.2019 05:15 - 01.01.2019 05:30","7615","7657"
"01.01.2019 05:30 - 01.01.2019 05:45","7649","7601"
"01.01.2019 05:45 - 01.01.2019 06:00","7628","7568"
"01.01.2019 06:00 - 01.01.2019 06:15","7616","7589"
"01.01.2019 06:15 - 01.01.2019 06:30","7616","7759"
"01.01.2019 06:30 - 01.01.2019 06:45","7694","7798"
"01.01.2019 06:45 - 01.01.2019 07:00","7625","7717"
"01.01.2019 07:00 - 01.01.2019 07:15","7548","7720"
"01.01.2019 07:15 - 01.01.2019 07:30","7473","7734"
"01.01.2019 07:30 - 01.01.2019 07:45","7536","7706"
"01.01.2019 07:45 - 01.01.2019 08:00","7556","7684"
"01.01.2019 08:00 - 01.01.2019 08:15","7582","7697"
"01.01.2019 08:15 - 01.01.2019 08:30","7611","7713"
"01.01.2019 08:30 - 01.01.2019 08:45","7667","7754"
"01.01.2019 08:45 - 01.01.2019 09:00","7706","7729"
"01.01.2019 09:00 - 01.01.2019 09:15","7756","7775"
"01.01.2019 09:15 - 01.01.2019 09:30","7815","7783"
"01.01.2019 09:30 - 01.01.2019 09:45","7883","7847"
"01.01.2019 09:45 - 01.01.2019 10:00","7982","7875"
"01.01.2019 10:00 - 01.01.2019 10:15","8089","8035"
"01.01.2019 10:15 - 01.01.2019 10:30","8185","8125"
"01.01.2019 10:30 - 01.01.2019 10:45","8231","8221"
"01.01.2019 10:45 - 01.01.2019 11:00","8317","8402"
"01.01.2019 11:00 - 01.01.2019 11:15","8402","8524"
"01.01.2019 11:15 - 01.01.2019 11:30","8496","8620"
"01.01.2019 11:30 - 01.01.2019 11:45","8535","8759"
"01.01.2019 11:45 - 01.01.2019 12:00","8624","8623"
"01.01.2019 12:00 - 01.01.2019 12:15","8681","8633"
"01.01.2019 12:15 - 01.01.2019 12:30","8736","8754"
"01.01.2019 12:30 - 01.01.2019 12:45","8724","8805"
"01.01.2019 12:45 - 01.01.2019 13:00","8755","8768"
"01.01.2019 13:00 - 01.01.2019 13:15","8769","8833"
"01.01.2019 13:15 - 01.01.2019 13:30","8769","8886"
"01.01.2019 13:30 - 01.01.2019 13:45","8722","9083"
"01.01.2019 13:45 - 01.01.2019 14:00","8681","9015"
