"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"Belgium (BE)","01.01.2019 00:00 - 01.01.2019 01:00 (CET)","159","n/e","n/e","1920","0","0","n/e","n/e","n/e","66","10","38","n/e","n/e","2376","633","n/e","0","259","493","272"
"Belgium (BE)","01.01.2019 01:00 - 01.01.2019 02:00 (CET)","159","n/e","n/e","1637","0","0","n/e","n/e","n/e","347","","39","n/e","n/e","2376","673","n/e","0","258","500","305"
"Belgium (BE)","01.01.2019 02:00 - 01.01.2019 03:00 (CET)","159","n/e","n/e","1587","0","0","n/e","n/e","n/e","298","","40","n/e","n/e","2383","631","n/e","0","259","554","292"
"Belgium (BE)","01.01.2019 03:00 - 01.01.2019 04:00 (CET)","162","n/e","n/e","1598","0","0","n/e","n/e","n/e","","197","39","n/e","n/e","2413","619","n/e","0","255","511","343"
"Belgium (BE)","01.01.2019 04:00 - 01.01.2019 05:00 (CET)","165","n/e","n/e","1535","0","0","n/e","n/e","n/e","","478","37","n/e","n/e","2416","619","n/e","0","254","609","392"
"Belgium (BE)","01.01.2019 05:00 - 01.01.2019 06:00 (CET)","168","n/e","n/e","1566","0","0","n/e","n/e","n/e","","250","34","n/e","n/e","2438","633","n/e","0","259","640","371"
"Belgium (BE)","01.01.2019 06:00 - 01.01.2019 07:00 (CET)","165","n/e","n/e","1501","0","0","n/e","n/e","n/e","","209","35","n/e","n/e","2451","652","n/e","0","262","802","412"
"Belgium (BE)","01.01.2019 07:00 - 01.01.2019 08:00 (CET)","165","n/e","n/e","1602","0","0","n/e","n/e","n/e","","36","35","n/e","n/e","2449","667","n/e","0","280","875","443"
"Belgium (BE)","01.01.2019 08:00 - 01.01.2019 09:00 (CET)","163","n/e","n/e","1652","0","0","n/e","n/e","n/e","","14","35","n/e","n/e","2449","665","n/e","0","292","792","364"
"Belgium (BE)","01.01.2019 09:00 - 01.01.2019 10:00 (CET)","163","n/e","n/e","1677","0","0","n/e","n/e","n/e","103","","35","n/e","n/e","2452","679","n/e","13","289","678","398"
"Belgium (BE)","01.01.2019 10:00 - 01.01.2019 11:00 (CET)","167","n/e","n/e","1612","0","0","n/e","n/e","n/e","194","","37","n/e","n/e","2464","690","n/e","66","286","819","422"
"Belgium (BE)","01.01.2019 11:00 - 01.01.2019 12:00 (CET)","165","n/e","n/e","1698","0","0","n/e","n/e","n/e","584","","38","n/e","n/e","2494","692","n/e","126","287","678","451"
